League,GameTime,Teams,History
MLB,2025-06-03T23:11:00.000Z,Milwaukee Brewers Cincinnati Reds,[6/2/2025 4:09:56 PM] Moneyline: -102 | Spread: -1.5 | SpreadOdds: +164 | Total: O 8 | TotalOdds: -115; [6/2/2025 4:41:47 PM] Moneyline: -102 | Spread: -1.5 | SpreadOdds: +164 | Total: O 8 | TotalOdds: -115; [6/3/2025 1:41:59 PM] Moneyline: +110 | Spread: +1.5 | SpreadOdds: -200 | Total: O 8.5 | TotalOdds: +100; [6/3/2025 3:18:28 PM] Moneyline: +110 | Spread: +1.5 | SpreadOdds: -200 | Total: O 8 | TotalOdds: -115; [6/3/2025 3:25:14 PM] Moneyline: +110 | Spread: +1.5 | SpreadOdds: -200 | Total: O 8 | TotalOdds: -115; [6/3/2025 3:27:39 PM] Moneyline: +110 | Spread: +1.5 | SpreadOdds: -200 | Total: O 8 | TotalOdds: -115;
MLB,2025-06-03T23:16:00.000Z,Arizona Diamondbacks Atlanta Braves,[6/2/2025 4:09:56 PM] Moneyline: +128 | Spread: +1.5 | SpreadOdds: -164 | Total: O 8.5 | TotalOdds: -124; [6/2/2025 4:41:47 PM] Moneyline: +128 | Spread: +1.5 | SpreadOdds: -164 | Total: O 8.5 | TotalOdds: -124; [6/3/2025 1:41:59 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -170 | Total: O 9 | TotalOdds: +100; [6/3/2025 3:18:28 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -154 | Total: O 9 | TotalOdds: +100; [6/3/2025 3:25:14 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -152 | Total: O 9 | TotalOdds: +100; [6/3/2025 3:27:39 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -152 | Total: O 9 | TotalOdds: +100;
MLB,2025-06-03T23:36:00.000Z,Texas Rangers Tampa Bay Rays,[6/2/2025 4:09:56 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -182 | Total: O 8 | TotalOdds: -115; [6/2/2025 4:41:47 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -182 | Total: O 8 | TotalOdds: -115; [6/3/2025 1:41:59 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -176 | Total: O 8 | TotalOdds: -106; [6/3/2025 3:18:28 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -182 | Total: O 7.5 | TotalOdds: -110; [6/3/2025 3:25:14 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -182 | Total: O 7.5 | TotalOdds: -110; [6/3/2025 3:27:39 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -182 | Total: O 7.5 | TotalOdds: -110;
MLB,2025-06-03T23:41:00.000Z,Detroit Tigers Chicago White Sox,[6/3/2025 1:41:59 PM] Moneyline: -172 | Spread: -1.5 | SpreadOdds: -104 | Total: O 8.5 | TotalOdds: -110; [6/3/2025 3:18:28 PM] Moneyline: -172 | Spread: -1.5 | SpreadOdds: -102 | Total: O 8.5 | TotalOdds: -110; [6/3/2025 3:25:14 PM] Moneyline: -172 | Spread: -1.5 | SpreadOdds: -102 | Total: O 8.5 | TotalOdds: -110; [6/3/2025 3:27:39 PM] Moneyline: -172 | Spread: -1.5 | SpreadOdds: -102 | Total: O 8.5 | TotalOdds: -110;
MLB,2025-06-03T23:46:00.000Z,Kansas City Royals St. Louis Cardinals,[6/2/2025 4:09:56 PM] Moneyline: +124 | Spread: +1.5 | SpreadOdds: -176 | Total: O 8.5 | TotalOdds: -120; [6/2/2025 4:41:47 PM] Moneyline: +124 | Spread: +1.5 | SpreadOdds: -176 | Total: O 8.5 | TotalOdds: -120; [6/3/2025 1:41:59 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -166 | Total: O 9 | TotalOdds: -104; [6/3/2025 3:18:28 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -166 | Total: O 9 | TotalOdds: -110; [6/3/2025 3:25:14 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -166 | Total: O 9 | TotalOdds: -110; [6/3/2025 3:27:39 PM] Moneyline: +130 | Spread: +1.5 | SpreadOdds: -166 | Total: O 9 | TotalOdds: -110;
MLB,2025-06-04T01:41:00.000Z,Baltimore Orioles Seattle Mariners,[6/2/2025 4:09:56 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -160 | Total: O 7.5 | TotalOdds: -110; [6/2/2025 4:41:47 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -160 | Total: O 7.5 | TotalOdds: -110; [6/3/2025 1:41:59 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -172 | Total: O 7.5 | TotalOdds: -108; [6/3/2025 3:18:28 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -172 | Total: O 7.5 | TotalOdds: -108; [6/3/2025 3:25:14 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -172 | Total: O 7.5 | TotalOdds: -108; [6/3/2025 3:27:39 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -172 | Total: O 7.5 | TotalOdds: -108;
MLB,2025-06-04T01:46:00.000Z,San Diego Padres San Francisco Giants,[6/3/2025 1:41:59 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -164 | Total: O 7.5 | TotalOdds: -122; [6/3/2025 3:18:28 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -164 | Total: O 7.5 | TotalOdds: -122; [6/3/2025 3:25:14 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -164 | Total: O 7.5 | TotalOdds: -122; [6/3/2025 3:27:39 PM] Moneyline: +136 | Spread: +1.5 | SpreadOdds: -164 | Total: O 7.5 | TotalOdds: -122;
MLB,2025-06-04T02:06:00.000Z,Minnesota Twins Athletics,[6/3/2025 1:41:59 PM] Moneyline: -196 | Spread: -1.5 | SpreadOdds: -120 | Total: O 10 | TotalOdds: -114; [6/3/2025 3:18:28 PM] Moneyline: -198 | Spread: -1.5 | SpreadOdds: -125 | Total: O 10 | TotalOdds: -114; [6/3/2025 3:25:14 PM] Moneyline: -198 | Spread: -1.5 | SpreadOdds: -125 | Total: O 10 | TotalOdds: -114; [6/3/2025 3:27:39 PM] Moneyline: -198 | Spread: -1.5 | SpreadOdds: -125 | Total: O 10 | TotalOdds: -114;
MLB,2025-06-04T02:11:00.000Z,New York Mets Los Angeles Dodgers,[6/2/2025 4:09:56 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -166 | Total: O 9 | TotalOdds: -110; [6/2/2025 4:41:47 PM] Moneyline: +126 | Spread: +1.5 | SpreadOdds: -166 | Total: O 9 | TotalOdds: -110; [6/3/2025 1:41:59 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -156 | Total: O 9 | TotalOdds: -120; [6/3/2025 3:18:28 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -162 | Total: O 9 | TotalOdds: -120; [6/3/2025 3:25:14 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -164 | Total: O 9 | TotalOdds: -120; [6/3/2025 3:27:39 PM] Moneyline: +120 | Spread: +1.5 | SpreadOdds: -164 | Total: O 9 | TotalOdds: -120;
MLB,2025-06-04T17:36:00.000Z,Los Angeles Angels Boston Red Sox,[6/3/2025 1:41:59 PM] Moneyline: +104 | Spread: +1.5 | SpreadOdds: -196 | Total: O 10 | TotalOdds: -105; [6/3/2025 3:18:28 PM] Moneyline: +108 | Spread: +1.5 | SpreadOdds: -194 | Total: O 10 | TotalOdds: -105; [6/3/2025 3:25:14 PM] Moneyline: +108 | Spread: +1.5 | SpreadOdds: -194 | Total: O 10 | TotalOdds: -105; [6/3/2025 3:27:39 PM] Moneyline: +108 | Spread: +1.5 | SpreadOdds: -194 | Total: O 10 | TotalOdds: -105;
MLB,2025-06-04T22:41:00.000Z,Houston Astros Pittsburgh Pirates,[6/3/2025 1:41:59 PM] Moneyline: -134 | Spread: -1.5 | SpreadOdds: +118 | Total: O 9 | TotalOdds: -105; [6/3/2025 3:18:28 PM] Moneyline: -134 | Spread: -1.5 | SpreadOdds: +118 | Total: O 9 | TotalOdds: -105; [6/3/2025 3:25:14 PM] Moneyline: -134 | Spread: -1.5 | SpreadOdds: +118 | Total: O 9 | TotalOdds: -105; [6/3/2025 3:27:39 PM] Moneyline: -134 | Spread: -1.5 | SpreadOdds: +118 | Total: O 9 | TotalOdds: -105;
MLB,2025-06-04T22:46:00.000Z,Chicago Cubs Washington Nationals,[6/3/2025 1:41:59 PM] Moneyline: -136 | Spread: -1.5 | SpreadOdds: +120 | Total: O 8.5 | TotalOdds: -115; [6/3/2025 3:18:28 PM] Moneyline: -136 | Spread: -1.5 | SpreadOdds: +120 | Total: O 8.5 | TotalOdds: -115; [6/3/2025 3:25:14 PM] Moneyline: -136 | Spread: -1.5 | SpreadOdds: +120 | Total: O 8.5 | TotalOdds: -115; [6/3/2025 3:27:39 PM] Moneyline: -136 | Spread: -1.5 | SpreadOdds: +120 | Total: O 8.5 | TotalOdds: -115;
